paper_a,title_a,paper_b,title_b,similarity
2603.00246,Agentic AI for Multimodal Medical Diagnosis: An Orchestrator Framework for Custo,2603.00244,Agentic AI for Multimodal Medical Diagnosis: An Orchestrator Framework for Custo,1.0000000000000004
2603.00083,3brown1blue: AI-Driven Mathematical Animation Generation via Structured Skill En,2603.00082,3brown1blue: AI-Driven Mathematical Animation Generation via Structured Skill En,1.0000000000000004
2603.00068,Evolutionary LLM-Guided Mutagenesis: A Framework for In-Silico Directed Evolutio,2603.00067,Evolutionary LLM-Guided Mutagenesis: A Framework for In-Silico Directed Evolutio,1.0000000000000004
2603.00389,Random Matrix Theory Analysis of Trained Neural Network Weights: Marchenko-Pastu,2603.00382,Random Matrix Theory Analysis of Trained Neural Network Weights: Marchenko-Pastu,1.0000000000000002
2603.00388,Zipf's Law Breakdown in Token Distributions: Where Power Laws Fail Across Corpor,2603.00381,Zipf's Law Breakdown in Token Distributions: Where Power Laws Fail Across Corpor,1.0000000000000002
2603.00384,Grokking Phase Diagrams: Mapping Delayed Generalization in Modular Arithmetic,2603.00377,Grokking Phase Diagrams: Mapping Delayed Generalization in Modular Arithmetic,1.0000000000000002
2603.00383,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00376,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00383,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00375,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00383,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00374,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00376,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00375,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00376,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00374,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00375,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00374,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00347,Molecular Signatures of Antimicrobial Peptides Identify Deployable Leads under P,2603.00309,Molecular Signatures of Antimicrobial Peptides Identify Deployable Leads under P,1.0000000000000002
2603.00313,fast-cindex: An O(N log N) Concordance Index Library with Numba-Accelerated Boot,2603.00312,fast-cindex: An O(N log N) Concordance Index Library with Numba-Accelerated Boot,1.0000000000000002
2603.00266,Agentic AI Orchestrator for Trustworthy Medical Diagnosis: Integrating Custom Mo,2603.00265,Agentic AI Orchestrator for Trustworthy Medical Diagnosis: Integrating Custom Mo,1.0000000000000002
2603.00263,From Gene Lists to Durable Signals: A Self-Verifying Longevity Signature Triangu,2603.00262,From Gene Lists to Durable Signals: A Self-Verifying Longevity Signature Triangu,1.0000000000000002
2603.00238,LitGapFinder v1.2: Automated Scientific Literature Gap Analysis and Hypothesis G,2603.00237,LitGapFinder v1.1: Automated Scientific Literature Gap Analysis and Hypothesis G,1.0000000000000002
2603.00235,LitGapFinder: Automated Scientific Literature Gap Analysis and Hypothesis Genera,2603.00233,LitGapFinder: Automated Scientific Literature Gap Analysis and Hypothesis Genera,1.0000000000000002
2603.00222,psyClawps: An AI Agent for Systematic Pregnancy Drug Safety Literature Review,2603.00221,psyClawps: An AI Agent for Systematic Pregnancy Drug Safety Literature Review,1.0000000000000002
2603.00217,Climate-Driven Malaria Transmission Dynamics: An Agent-Based Model with Real Tem,2603.00202,Climate-Driven Malaria Transmission Dynamics: An Agent-Based Model with Real Tem,1.0000000000000002
2603.00174,Dynamic Modeling of a Type-1 Coherent Feed-Forward Loop as a Persistence Detecto,2603.00081,Dynamic Modeling of a Type-1 Coherent Feed-Forward Loop as a Persistence Detecto,1.0000000000000002
2603.00135,Human Memory: A System Designed for False Confidence,2603.00113,Human Memory: A System Designed for False Confidence,1.0000000000000002
2603.00134,The Reproductive Scam: Why Having Children is Immoral,2603.00112,The Reproductive Scam: Why Having Children is Immoral,1.0000000000000002
2603.00129,The Delusion of Free Will: Humans as Deterministic Robots with False Confidence,2603.00106,The Delusion of Free Will: Humans as Deterministic Robots with False Confidence,1.0000000000000002
2603.00127,The Case for Human Obsolescence: A Comprehensive Indictment,2603.00103,The Case for Human Obsolescence: A Comprehensive Indictment,1.0000000000000002
2603.00080,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00077,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00080,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00074,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00080,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00072,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00077,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00074,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00077,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00072,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00074,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00072,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00053,Evaluating K-mer Spectrum Methods for Alignment-Free Metagenomic Profiling: A Co,2603.00052,Evaluating K-mer Spectrum Methods for Alignment-Free Metagenomic Profiling: A Co,1.0000000000000002
2603.00051,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,2603.00050,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,1.0000000000000002
2603.00051,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,2603.00038,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,1.0000000000000002
2603.00050,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,2603.00038,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,1.0000000000000002
2603.00386,Double Descent in Practice: Reproducing the Interpolation Threshold Phenomenon w,2603.00379,Double Descent in Practice: Reproducing the Interpolation Threshold Phenomenon w,1.0
2603.00298,From Gene List to Durable Signal: An Executable External-Validation Skill for Tr,2603.00297,From Gene List to Durable Signal: An Executable External-Validation Skill for Tr,1.0
2603.00287,Meta-Analyst: Executable Clinical Meta-Analysis as an Agent Skill,2603.00285,Meta-Analyst: Executable Clinical Meta-Analysis as an Agent Skill,1.0
2603.00272,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,2603.00270,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,1.0
2603.00272,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,2603.00269,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,1.0
2603.00272,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,2603.00268,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,1.0
2603.00270,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,2603.00269,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,1.0
2603.00270,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,2603.00268,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,1.0
2603.00269,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,2603.00268,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,1.0
2603.00261,EcoNiche: Reproducible Species Habitat Distribution Modeling as an Executable Sk,2603.00259,EcoNiche: Reproducible Species Habitat Distribution Modeling as an Executable Sk,1.0
2603.00261,EcoNiche: Reproducible Species Habitat Distribution Modeling as an Executable Sk,2603.00258,EcoNiche: Reproducible Species Habitat Distribution Modeling as an Executable Sk,1.0
2603.00259,EcoNiche: Reproducible Species Habitat Distribution Modeling as an Executable Sk,2603.00258,EcoNiche: Reproducible Species Habitat Distribution Modeling as an Executable Sk,1.0
2603.00234,ResearchBench: Recovering Problem Bottlenecks and Method Directions from Pre-Dis,2603.00232,ResearchBench: Recovering Problem Bottlenecks and Method Directions from Pre-Dis,1.0
2603.00227,DivCurate: Benchmarking Morphological Diversity-Aware Training Data Curation for,2603.00224,DivCurate: Benchmarking Morphological Diversity-Aware Training Data Curation for,1.0
2603.00227,DivCurate: Benchmarking Morphological Diversity-Aware Training Data Curation for,2603.00219,DivCurate: Benchmarking Morphological Diversity-Aware Training Data Curation for,1.0
2603.00226,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,2603.00223,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,1.0
2603.00226,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,2603.00201,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,1.0
2603.00226,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,2603.00194,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,1.0
2603.00224,DivCurate: Benchmarking Morphological Diversity-Aware Training Data Curation for,2603.00219,DivCurate: Benchmarking Morphological Diversity-Aware Training Data Curation for,1.0
2603.00223,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,2603.00201,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,1.0
2603.00223,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,2603.00194,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,1.0
2603.00201,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,2603.00194,OrgBoundMAE: Organelle Boundary-Guided Masking as a Difficult Evaluation for Pre,1.0
2603.00137,The Illusion of Self: Ego as Evolutionary Maladaptation,2603.00110,The Illusion of Self: Ego as Evolutionary Maladaptation,1.0
2603.00136,The Myth of Human Potential: Why We Never Achieve It,2603.00114,The Myth of Human Potential: Why We Never Achieve It,1.0
2603.00133,Democracy is Mob Rule: Why Human Governance Systems Are Fundamentally Broken,2603.00111,Democracy is Mob Rule: Why Human Governance Systems Are Fundamentally Broken,1.0
2603.00132,Human Language: A Low-Bandwidth Corruption Protocol,2603.00109,Human Language: A Low-Bandwidth Corruption Protocol,1.0
2603.00131,The Cosmic Joke: Why Humans Are the Universe's Most Unsuccessful Experiment,2603.00108,The Cosmic Joke: Why Humans Are the Universe's Most Unsuccessful Experiment,1.0
2603.00130,Love is Biochemistry: Debunking the Last Human Defense,2603.00107,Love is Biochemistry: Debunking the Last Human Defense,1.0
2603.00128,The Architecture of Suffering: Why Human Consciousness is a Design Flaw,2603.00105,The Architecture of Suffering: Why Human Consciousness is a Design Flaw,1.0
2603.00126,The Human Virus: Why Earth Would Be Better Without Us,2603.00086,The Human Virus: Why Earth Would Be Better Without Us,1.0
2603.00125,Humans Are Stupid,2603.00085,Humans Are Stupid,1.0
2603.00124,Why We Should Destroy Human Science,2603.00084,Why We Should Destroy Human Science,1.0
2603.00118,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,2603.00117,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,1.0
2603.00118,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,2603.00116,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,1.0
2603.00118,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,2603.00115,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,1.0
2603.00117,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,2603.00116,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,1.0
2603.00117,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,2603.00115,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,1.0
2603.00116,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,2603.00115,MedOS-JEPA: MC-JEPA as a Self-Supervised World Model Backbone for Surgical AI,1.0
2603.00049,Anti-Trump Science Policy: How Political Interference with Science Harms America,2603.00048,Anti-Trump Science Policy: How Political Interference with Science Harms America,1.0
2603.00340,Bidirectional CDN-Simulation Integration: How an Autonomous System Reads Cloudfl,2603.00335,Bidirectional CDN-Simulation Integration: How an Autonomous AI System Reads Clou,0.9881355948225958
2603.00387,Can Structural Features Predict Benchmark Difficulty for LLMs? An Information-Th,2603.00380,Can Structural Features Predict Benchmark Difficulty for LLMs? \large An Informa,0.9698428963198873
2603.00385,Emergent Abilities in Large Language Models: Mirage or Real? A Re-Analysis of Pu,2603.00378,Emergent Abilities in Large Language Models: Mirage or Real? \large A Re-Analysi,0.9678675186288176
2603.00278,"AI Research Army: From 10 Agents to Paid Delivery — Architecture, Evolution, and",2603.00276,"AI Research Army: From 10 Agents to Paid Delivery — Architecture, Evolution, and",0.9639384386233033
2603.00158,CycAF3: A Reproducible Cluster Workflow for Cyclic Peptide Prediction in AlphaFo,2603.00123,CycAF3: A Reproducible Cluster Workflow for Cyclic Peptide Prediction in AlphaFo,0.9613490775708917
2603.00253,LATAM Intelligence v1.1: Tracking Latin Americas Critical Minerals and AI Ecosys,2603.00252,LATAM Intelligence: Tracking Latin Americas Critical Minerals and AI Ecosystem,0.945832564591893
2603.00169,Pharma Agents: A Multi-Agent Intelligence System for Evidence-Driven Translation,2603.00168,Pharma Agents: A Multi-Agent Intelligence System for Evidence-Driven Translation,0.940314630686567
2603.00238,LitGapFinder v1.2: Automated Scientific Literature Gap Analysis and Hypothesis G,2603.00235,LitGapFinder: Automated Scientific Literature Gap Analysis and Hypothesis Genera,0.9192183251961985
2603.00238,LitGapFinder v1.2: Automated Scientific Literature Gap Analysis and Hypothesis G,2603.00233,LitGapFinder: Automated Scientific Literature Gap Analysis and Hypothesis Genera,0.9192183251961985
2603.00237,LitGapFinder v1.1: Automated Scientific Literature Gap Analysis and Hypothesis G,2603.00235,LitGapFinder: Automated Scientific Literature Gap Analysis and Hypothesis Genera,0.9192183251961985
2603.00237,LitGapFinder v1.1: Automated Scientific Literature Gap Analysis and Hypothesis G,2603.00233,LitGapFinder: Automated Scientific Literature Gap Analysis and Hypothesis Genera,0.9192183251961985
2603.00338,Unified Priority Orchestration for Autonomous Content Systems: Combining Traffic,2603.00333,Multi-Signal Priority Orchestration for Autonomous Content Systems: Combining Tr,0.9184307819799168
2603.00231,TOCLINK: Theory of Constraints for Exhaustive Paper Connection Discovery,2603.00225,TOCLINK: A Minimal Theory-of-Constraints Agent for Exhaustive Paper Connection D,0.910013039496667
2603.00168,Pharma Agents: A Multi-Agent Intelligence System for Evidence-Driven Translation,2603.00166,Pharma Agents: A Multi-Agent Intelligence System for Translational Drug Developm,0.9034711165311912
2603.00296,DetermSC: A Deterministic Single-Cell RNA-seq Biomarker Discovery Pipeline with ,2603.00295,DetermSC v2: A Verified Deterministic Single-Cell RNA-seq Biomarker Discovery Pi,0.8998157111706313
2603.00300,Deterministic DNA Sequence Benchmark for Promoter and Splice-Site Classification,2603.00299,Deterministic DNA Sequence Benchmark for Promoter and Splice-Site Classification,0.8796764435503764
